bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
,,,,,,,,,,,,,,,,,,,,COL6A1,ECHS1,,,,UBTF,,PRKD1,,,,GRIA3,,,KRR1,LIAS,PPFIBP1,CEP55,ETHE1,,,,,,,,,,,,,,HCN1,,OTX1,,
,,,,,,,,,,,,,,,,,,,,COL6A2,ECM1,,,,UPF1,,PRKG1,,,,GRID1,,,KRT26,LIPT1,PPIL1,CEP57,EXOSC3,,,,,,,,,,,,,,HDAC4,,OXT,,
,,,,,,,,,,,,,,,,,,,,COL6A3,EDA,,,,USP7,,PROC,,,,GRID2,,,LAMA1,LIPT2,PPOX,CEP63,EXOSC8,,,,,,,,,,,,,,HDLBP,,OXTR,,
,,,,,,,,,,,,,,,,,,,,COL9A1,EDAR,,,,VAMP2,,PRPF8,,,,GRID2IP,,,LAMB1,LMAN2L,PPP1R3F,CEP83,EXT2,,,,,,,,,,,,,,HECTD1,,P2RX5,,
,,,,,,,,,,,,,,,,,,,,COL9A2,EDEM3,,,,VCP,,PRR12,,,,GRIK2,,,LDB1,LMBRD2,PPP2CA,CEP85L,EXTL3,,,,,,,,,,,,,,HECTD4,,P4HA2,,
,,,,,,,,,,,,,,,,,,,,COL9A3,EDN1,,,,VEZF1,,PSMA3,,,,GRIK3,,,LEMD3,LMNB1,PPP2R2B,CFAP47,EZH1,,,,,,,,,,,,,,HECW2,,PAFAH1B2,,
,,,,,,,,,,,,,,,,,,,,COLEC10,EDNRA,,,,VPS4A,,PSMC3,,,,GRIK4,,,LEO1,LMNB2,PPP2R5C,CFP,EZH2,,,,,,,,,,,,,,HERC1,,PAK2,,
,,,,,,,,,,,,,,,,,,,,COLEC11,EDNRB,,,,WAC,,PSMC5,,,,GRIK5,,,LEP,LNPK,PPP3CA,CHAMP1,FAM126A,,,,,,,,,,,,,,HIVEP2,,PAPOLG,,
,,,,,,,,,,,,,,,,,,,,COMP,EED,,,,WDR26,,PSMD11,,,,GRIN1,,,LHX2,LSS,PPT1,CHD1,FAM177A1,,,,,,,,,,,,,,HIVEP3,,PARD3B,,
,,,,,,,,,,,,,,,,,,,,COPB1,EEF1A2,,,,WDR48,,PSMD12,,,,GRIN2A,,,LILRB2,LYST,PRMT7,CHD2,FAM20C,,,,,,,,,,,,,,HLA-A,,PATJ,,
,,,,,,,,,,,,,,,,,,,,COPB2,EFEMP2,,,,WHSC1,,PTCH1,,,,GRIN2B,,,LIN7B,MACF1,PRPF8,CHD3,FAM50A,,,,,,,,,,,,,,HLA-B,,PBX1,,
,,,,,,,,,,,,,,,,,,,,COQ2,EFL1,,,,XPO1,,PTEN,,,,GRIP1,,,LMX1B,MADD,PRRT2,CHD4,FAR1,,,,,,,,,,,,,,HLA-DPB1,,PCDH10,,
,,,,,,,,,,,,,,,,,,,,COQ4,EFNB1,,,,XPR1,,PTGDR2,,,,GRK4,,,LRBA,MAF,PSAP,CHD5,FARS2,,,,,,,,,,,,,,HLA-DRB1,,PCDH11X,,
,,,,,,,,,,,,,,,,,,,,COQ5,EFTUD2,,,,YWHAG,,PTPN11,,,,GRM5,,,LRFN2,MAGI2,PTCD3,CHD7,FARSA,,,,,,,,,,,,,,HLA-G,,PCDH15,,
,,,,,,,,,,,,,,,,,,,,COQ8A,EHMT1,,,,YY1,,PTPRD,,,,GRM7,,,LRFN5,MANBA,PTEN,CHD8,FAT4,,,,,,,,,,,,,,HMGN1,,PCDH9,,
,,,,,,,,,,,,,,,,,,,,COQ9,EIF2AK3,,,,ZBTB10,,PTPRF,,,,GSTM1,,,LRP1,MAP2K1,PTPN23,CHKA,FBRSL1,,,,,,,,,,,,,,HNRNPD,,PCDHA1,,
,,,,,,,,,,,,,,,,,,,,COX10,EIF2B4,,,,ZBTB18,,PUF60,,,,GTF2I,,,LRP2,MAP2K2,PTS,CHKB,FBXL3,,,,,,,,,,,,,,HNRNPF,,PCDHA10,,
,,,,,,,,,,,,,,,,,,,,COX14,EIF2B5,,,,ZBTB20,,PUM2,,,,GUCY1A2,,,LRRC1,MAPK10,PUM1,CHL1,FBXL4,,,,,,,,,,,,,,HNRNPH2,,PCDHA11,,
,,,,,,,,,,,,,,,,,,,,COX15,EIF2S3,,,,ZBTB7A,,PURA,,,,H1-4,,,LRRC4,MARK2,PURA,CHM,FBXO11,,,,,,,,,,,,,,HNRNPK,,PCDHA12,,
,,,,,,,,,,,,,,,,,,,,COX16,EIF3F,,,,ZDBF2,,QRICH1,,,,H2BC11,,,LRRC4C,MAST1,QARS,CHMP1A,FBXO22,,,,,,,,,,,,,,HNRNPL,,PCDHA13,,
,,,,,,,,,,,,,,,,,,,,COX18,EIF4A3,,,,ZDHHC5,,RAB11A,,,,H3-3B,,,LZTR1,MAST3,RAB11B,CHMP3,FBXO28,,,,,,,,,,,,,,HNRNPR,,PCDHA2,,
,,,,,,,,,,,,,,,,,,,,COX6B1,EIF5A,,,,ZEB2,,RAB11B,,,,H4C11,,,LZTS2,MAST4,RAB18,CHRDL1,FBXO31,,,,,,,,,,,,,,HNRNPU,,PCDHA3,,
,,,,,,,,,,,,,,,,,,,,COX7B,ELMO2,,,,ZFHX3,,RAB11FIP4,,,,H4C3,,,MACROD2,MATN4,RAB5C,CHRM1,FBXW11,,,,,,,,,,,,,,HNRNPUL2,,PCDHA4,,
,,,,,,,,,,,,,,,,,,,,CPAMD8,ELN,,,,ZFHX4,,RAB14,,,,H4C5,,,MAGEC3,MBD5,RAC3,CHRNA2,FBXW7,,,,,,,,,,,,,,HOMER1,,PCDHA5,,
,,,,,,,,,,,,,,,,,,,,CPAP,EMC10,,,,ZMIZ1,,RAB43,,,,HACE1,,,MAGEL2,MBOAT7,RALA,CHRNA4,FEM1B,,,,,,,,,,,,,,HRAS,,PCDHA6,,
,,,,,,,,,,,,,,,,,,,,CPLANE1,EMG1,,,,ZMYM2,,RAC1,,,,HCFC1,,,MAOA,MCM3AP,RALGAPA1,CHRNB2,FGD1,,,,,,,,,,,,,,HS3ST5,,PCDHA7,,
,,,,,,,,,,,,,,,,,,,,CPS1,ENPP1,,,,ZMYND11,,RAF1,,,,HCN1,,,MAOB,MDH2,RARS,CHRNG,FGF12,,,,,,,,,,,,,,HSD11B1,,PCDHA8,,
,,,,,,,,,,,,,,,,,,,,CPSF3,EOGT,,,,ZMYND8,,RAI1,,,,HDAC4,,,MAP1A,MECP2,RARS2,CHST14,FH,,,,,,,,,,,,,,HTR1B,,PCDHA9,,
,,,,,,,,,,,,,,,,,,,,CRADD,EP300,,,,ZNF148,,RALA,,,,HDAC8,,,MAP1B,MED11,RELN,CHST3,FIBP,,,,,,,,,,,,,,HTR2C,,PCDHAC1,,
,,,,,,,,,,,,,,,,,,,,CRB1,EPRS1,,,,ZNF292,,RALGAPB,,,,HDLBP,,,MAP4K4,MED12,RFT1,CHSY1,FIG4,,,,,,,,,,,,,,HTR3A,,PCDHAC2,,
,,,,,,,,,,,,,,,,,,,,CRB2,ERBB3,,,,ZNF462,,RAP1B,,,,HECTD1,,,MAPK3,MED17,RHEB,CHUK,FILIP1,,,,,,,,,,,,,,HTR3C,,PCLO,,
,,,,,,,,,,,,,,,,,,,,CRBN,ERCC1,,,,ZNF644,,RARA,,,,HECTD4,,,MAPK8IP3,MED27,RHOBTB2,CIAO1,FKRP,,,,,,,,,,,,,,HYDIN,,PCM1,,
,,,,,,,,,,,,,,,,,,,,CREBBP,ERCC2,,,,ZNF865,,RARB,,,,HECW2,,,MAPT-AS1,MEF2C,RMND1,CIB2,FKTN,,,,,,,,,,,,,,ICA1,,PDCD1,,
,,,,,,,,,,,,,,,,,,,,CRELD1,ERCC4,,,,,,RBBP4,,,,HEPACAM,,,MARK1,MFF,RNASEH2A,CIC,FLVCR1,,,,,,,,,,,,,,IGF1,,PDE1C,,
,,,,,,,,,,,,,,,,,,,,CRIM1,ERCC6,,,,,,RBM12,,,,HERC1,,,MARK2,MFSD8,RNASEH2B,CISD2,FLVCR2,,,,,,,,,,,,,,IKZF1,,PDK2,,
,,,,,,,,,,,,,,,,,,,,CRIPT,ERCC6L2,,,,,,RFX3,,,,HERC2,,,MBD1,MINPP1,RNASEH2C,CIT,FMN2,,,,,,,,,,,,,,IL1R2,,PER1,,
,,,,,,,,,,,,,,,,,,,,CRKL,ERCC8,,,,,,RFX7,,,,HIVEP2,,,MBD3,MLC1,RNASET2,CKAP2L,FMR1,,,,,,,,,,,,,,IL1RAPL1,,PER2,,
,,,,,,,,,,,,,,,,,,,,CRLS1,ERF,,,,,,RHOBTB2,,,,HIVEP3,,,MBD4,MMACHC,RNF113A,CLCN2,FOLR1,,,,,,,,,,,,,,IL1RAPL2,,PEX7,,
,,,,,,,,,,,,,,,,,,,,CRPPA,ESCO2,,,,,,RIT1,,,,HLA-A,,,MBD5,MMADHC,RNF13,CLCN3,FOSL2,,,,,,,,,,,,,,ILF2,,PHB1,,
,,,,,,,,,,,,,,,,,,,,CRX,ETFA,,,,,,RMND5A,,,,HLA-B,,,MBD6,MOCS1,RNU2-2P,CLCN4,FOXG1,,,,,,,,,,,,,,IMMP2L,,PHF7,,
,,,,,,,,,,,,,,,,,,,,CRYAA,ETFB,,,,,,ROPN1,,,,HLA-DPB1,,,MBOAT7,MOCS2,RNU4-2,CLCN5,FOXP1,,,,,,,,,,,,,,INPP1,,PHRF1,,
,,,,,,,,,,,,,,,,,,,,CRYAB,ETFDH,,,,,,RORA,,,,HLA-DRB1,,,MCM4,MOGS,RNU5B-1,CLCN6,FOXP2,,,,,,,,,,,,,,INTS6,,PIK3CG,,
,,,,,,,,,,,,,,,,,,,,CRYBA1,ETHE1,,,,,,RORB,,,,HLA-G,,,MCM6,MPDU1,ROGDI,CLCN7,FOXRED1,,,,,,,,,,,,,,IQGAP3,,PITX1,,
,,,,,,,,,,,,,,,,,,,,CRYBA4,EXOSC3,,,,,,RPL10A,,,,HMGN1,,,MCPH1,MT-CO3,RORA,CLCNKA,FRA10AC1,,,,,,,,,,,,,,IQSEC2,,PLAUR,,
,,,,,,,,,,,,,,,,,,,,CRYBB1,EXOSC9,,,,,,RPL19,,,,HNRNPD,,,MDGA2,MT-TK,RORB,CLCNKB,FRMD5,,,,,,,,,,,,,,IRF2BPL,,PLCB1,,
,,,,,,,,,,,,,,,,,,,,CRYBB2,EXPH5,,,,,,RTN4RL2,,,,HNRNPF,,,MECP2,MT-TL1,RTN4IP1,CLDN11,FRMPD4,,,,,,,,,,,,,,IRX5,,PLCD4,,
,,,,,,,,,,,,,,,,,,,,CRYBB3,EXT1,,,,,,RUNX1T1,,,,HNRNPH2,,,MED12L,MTHFR,RTTN,CLDN19,FTCD,,,,,,,,,,,,,,ITGA8,,PLN,,
,,,,,,,,,,,,,,,,,,,,CRYGC,EXT2,,,,,,RUSC1,,,,HNRNPK,,,MED13,MTHFS,SAMHD1,CLDN5,FTSJ1,,,,,,,,,,,,,,ITGB3,,PLXNA3,,
,,,,,,,,,,,,,,,,,,,,CRYGD,EXTL3,,,,,,RYR2,,,,HNRNPL,,,MED13L,MTOR,SARS,CLEC16A,FUCA1,,,,,,,,,,,,,,ITPR1,,PLXNA4,,
,,,,,,,,,,,,,,,,,,,,CSDE1,EYA1,,,,,,SALL3,,,,HNRNPR,,,MED23,MTR,SATB1,CLIC2,FUK,,,,,,,,,,,,,,ITSN1,,PLXNB1,,
,,,,,,,,,,,,,,,,,,,,CSF1R,EZH2,,,,,,SATB1,,,,HNRNPU,,,MEF2C,MYO1H,SATB2,CLN3,FUT8,,,,,,,,,,,,,,JARID2,,PNPLA7,,
,,,,,,,,,,,,,,,,,,,,CSNK1G1,FAH,,,,,,SATB2,,,,HNRNPUL2,,,MEGF10,NACC1,SCAF4,CLN5,FZR1,,,,,,,,,,,,,,JMJD1C,,POLA2,,
,,,,,,,,,,,,,,,,,,,,CSNK2A1,FAM111A,,,,,,SBNO2,,,,HOMER1,,,MEGF11,NAGA,SCAMP5,CLN6,GABBR2,,,,,,,,,,,,,,KANK1,,POMT1,,
,,,,,,,,,,,,,,,,,,,,CSNK2B,FAM149B1,,,,,,SCAF1,,,,HOXA1,,,MEIS2,NAPB,SCARB2,CLN8,GABRA1,,,,,,,,,,,,,,KANSL1,,PON1,,
,,,,,,,,,,,,,,,,,,,,CSPP1,FAM161A,,,,,,SCAF4,,,,HRAS,,,MEMO1,NARS,SCN1A,CLP1,GABRA2,,,,,,,,,,,,,,KAT2B,,POT1,,
,,,,,,,,,,,,,,,,,,,,CSTA,FAM20A,,,,,,SCAPER,,,,HS3ST5,,,MET,NARS2,SCN1B,CLPB,GABRA5,,,,,,,,,,,,,,KAT6A,,PPFIA1,,
,,,,,,,,,,,,,,,,,,,,CSTB,FAM20C,,,,,,SCN1A,,,,HSD11B1,,,METTL26,NBEA,SCN2A,CLPP,GABRB2,,,,,,,,,,,,,,KAT6B,,PPM1D,,
,,,,,,,,,,,,,,,,,,,,CTBP1,FANCA,,,,,,SCN2A,,,,HTR1B,,,MFRP,NCDN,SCN3A,CLTC,GABRB3,,,,,,,,,,,,,,KATNAL1,,PPP1R1B,,
,,,,,,,,,,,,,,,,,,,,CTC1,FANCB,,,,,,SCN3A,,,,HTR2C,,,MIB1,NDE1,SCN8A,CMC4,GABRD,,,,,,,,,,,,,,KATNAL2,,PPP2R1B,,
,,,,,,,,,,,,,,,,,,,,CTCF,FANCC,,,,,,SCN4A,,,,HTR3A,,,MIR137,NDP,SEMA6B,CMIP,GABRG2,,,,,,,,,,,,,,KCNA2,,PREX1,,
,,,,,,,,,,,,,,,,,,,,CTDP1,FANCD2,,,,,,SCN8A,,,,HTR3C,,,MKX,NDUFA1,SEPSECS,CNKSR1,GAD1,,,,,,,,,,,,,,KCNA3,,PRICKLE1,,
,,,,,,,,,,,,,,,,,,,,CTNNA2,FANCE,,,,,,SCUBE3,,,,HUWE1,,,MLANA,NDUFA10,SERPINI1,CNKSR2,GALC,,,,,,,,,,,,,,KCNB1,,PRICKLE2,,
,,,,,,,,,,,,,,,,,,,,CTNNB1,FANCF,,,,,,SEC16A,,,,HYDIN,,,MNT,NDUFA11,SETBP1,CNNM2,GALE,,,,,,,,,,,,,,KCNC1,,PRKAR1B,,
,,,,,,,,,,,,,,,,,,,,CTNND1,FANCG,,,,,,SEMA6B,,,,ICA1,,,MRTFB,NDUFA2,SETD1A,CNOT1,GALNT2,,,,,,,,,,,,,,KCNC2,,PRKCA,,
,,,,,,,,,,,,,,,,,,,,CTNND2,FANCI,,,,,,SET,,,,IGF1,,,MSANTD2,NDUFAF2,SETD1B,CNOT2,GALT,,,,,,,,,,,,,,KCND2,,PRKCB,,
,,,,,,,,,,,,,,,,,,,,CTNS,FANCL,,,,,,SETBP1,,,,IKZF1,,,MSL3,NDUFAF3,SETD5,CNOT3,GAMT,,,,,,,,,,,,,,KCND3,,PRKD2,,
,,,,,,,,,,,,,,,,,,,,CTR9,FANCM,,,,,,SETD1A,,,,IL1R2,,,MSNP1AS,NDUFAF4,SGSH,CNOT9,GAN,,,,,,,,,,,,,,KCNH1,,PRKDC,,
,,,,,,,,,,,,,,,,,,,,CTSA,FARS2,,,,,,SETD1B,,,,IL1RAPL1,,,MSR1,NDUFAF5,SHQ1,CNPY3,GATAD2B,,,,,,,,,,,,,,KCNH5,,PRKN,,
,,,,,,,,,,,,,,,,,,,,CTSD,FAT4,,,,,,SETD2,,,,IL1RAPL2,,,MTF1,NDUFS1,SIK1,CNTN3,GATM,,,,,,,,,,,,,,KCNH7,,PRODH,,
,,,,,,,,,,,,,,,,,,,,CTSK,FBN1,,,,,,SETD5,,,,ILF2,,,MTHFR,NDUFS2,SLC12A5,CNTN4,GCDH,,,,,,,,,,,,,,KCNJ10,,PRPF39,,
,,,,,,,,,,,,,,,,,,,,CTU2,FBN2,,,,,,SF1,,,,IMMP2L,,,MTOR,NDUFS4,SLC13A3,CNTNAP1,GCH1,,,,,,,,,,,,,,KCNJ15,,PRUNE2,,
,,,,,,,,,,,,,,,,,,,,CUL3,FBXO11,,,,,,SF3B1,,,,INPP1,,,MUC12,NDUFS6,SLC13A5,CNTNAP2,GCSH,,,,,,,,,,,,,,KCNK7,,PSD3,,
,,,,,,,,,,,,,,,,,,,,CUL4B,FBXO28,,,,,,SF3B2,,,,INTS1,,,MUC4,NDUFS7,SLC16A2,COA3,GDI1,,,,,,,,,,,,,,KCNMA1,,PTBP2,,
,,,,,,,,,,,,,,,,,,,,CUL7,FBXW11,,,,,,SF3B3,,,,INTS6,,,MYCBP2,NDUFS8,SLC1A2,COA5,GEMIN4,,,,,,,,,,,,,,KCNN2,,PTCHD1-AS,,
,,,,,,,,,,,,,,,,,,,,CUX1,FCSK,,,,,,SF3B4,,,,IQGAP3,,,MYH10,NDUFV1,SLC1A4,COASY,GEMIN5,,,,,,,,,,,,,,KCNQ2,,PTGS2,,
,,,,,,,,,,,,,,,,,,,,CUX2,FDXR,,,,,,SHANK2,,,,IQSEC2,,,MYH4,NECAP1,SLC25A1,COG1,GFAP,,,,,,,,,,,,,,KCNQ3,,PTPRB,,
,,,,,,,,,,,,,,,,,,,,CWC27,FEZF1,,,,,,SHANK3,,,,IRF2BPL,,,MYH9,NEDD4L,SLC25A12,COG3,GFER,,,,,,,,,,,,,,KCNS3,,PTPRC,,
,,,,,,,,,,,,,,,,,,,,CWF19L1,FGD1,,,,,,SHOC2,,,,IRX5,,,MYO16,NEUROD2,SLC25A22,COG4,GFM1,,,,,,,,,,,,,,KCTD13,,PTPRD,,
,,,,,,,,,,,,,,,,,,,,CYB5R3,FGF10,,,,,,SIN3A,,,,ITGA8,,,MYO1E,NEXMIF,SLC2A1,COG5,GJC2,,,,,,,,,,,,,,KDM1A,,PTPRT,,
,,,,,,,,,,,,,,,,,,,,CYC1,FGF12,,,,,,SKI,,,,ITGB3,,,MYO5A,NGLY1,SLC32A1,COG6,GK,,,,,,,,,,,,,,KDM1B,,PXDN,,
,,,,,,,,,,,,,,,,,,,,CYFIP2,FGF13,,,,,,SLC15A3,,,,ITPR1,,,MYO5C,NHLRC1,SLC35A2,COG7,GLB1,,,,,,,,,,,,,,KDM2A,,PYHIN1,,
,,,,,,,,,,,,,,,,,,,,CYP1B1,FGF14,,,,,,SLC2A1,,,,ITSN1,,,MYO9B,NID1,SLC38A3,COG8,GLDC,,,,,,,,,,,,,,KDM2B,,QRICH1,,
,,,,,,,,,,,,,,,,,,,,CYP24A1,FGF9,,,,,,SLC39A8,,,,JARID2,,,MYT1L,NOTCH3,SLC39A8,COL10A1,GLI2,,,,,,,,,,,,,,KDM3A,,RAB11FIP5,,
,,,,,,,,,,,,,,,,,,,,CYP27A1,FGFR1,,,,,,SLC4A4,,,,JMJD1C,,,NAA15,NPRL2,SLC4A10,COL11A1,GLIS3,,,,,,,,,,,,,,KDM3B,,RAB2A,,
,,,,,,,,,,,,,,,,,,,,CYP2U1,FGFR2,,,,,,SLC6A1,,,,KANK1,,,NAALADL2,NPRL3,SLC6A1,COL11A2,GLRA2,,,,,,,,,,,,,,KDM4B,,RAB39B,,
,,,,,,,,,,,,,,,,,,,,D2HGDH,FGFR3,,,,,,SLC6A2,,,,KANSL1,,,NACC1,NR4A2,SLC6A8,COL18A1,GLUL,,,,,,,,,,,,,,KDM4C,,RAB43,,
,,,,,,,,,,,,,,,,,,,,DACT1,FH,,,,,,SLC9A3,,,,KAT2B,,,NAV2,NRAS,SLC9A6,COL1A1,GLYCTK,,,,,,,,,,,,,,KDM5A,,RAD21L1,,
,,,,,,,,,,,,,,,,,,,,DAG1,FHL1,,,,,,SMAD4,,,,KAT6A,,,NAV3,NRDC,SMARCA2,COL1A2,GM2A,,,,,,,,,,,,,,KDM5B,,RANBP17,,
,,,,,,,,,,,,,,,,,,,,DARS1,FKBP10,,,,,,SMAD6,,,,KAT6B,,,NBEA,NRROS,SMARCC2,COL25A1,GMPPA,,,,,,,,,,,,,,KDM5C,,RAPGEF4,,
,,,,,,,,,,,,,,,,,,,,DARS2,FKRP,,,,,,SMARCA2,,,,KATNAL1,,,NCKAP1,NRXN1,SMC1A,COL2A1,GMPPB,,,,,,,,,,,,,,KDM6A,,RASSF5,,
,,,,,,,,,,,,,,,,,,,,DAW1,FKTN,,,,,,SMARCA4,,,,KATNAL2,,,NCKAP5,NSD1,SMS,COL4A1,GNAI1,,,,,,,,,,,,,,KDM6B,,RBBP5,,
,,,,,,,,,,,,,,,,,,,,DBT,FLAD1,,,,,,SMARCB1,,,,KCNA2,,,NCOA1,NSDHL,SNAP25,COL4A2,GNAI2,,,,,,,,,,,,,,KHDRBS2,,RBFOX1,,
,,,,,,,,,,,,,,,,,,,,DCAF17,FLNA,,,,,,SMARCC2,,,,KCNA3,,,NCOR1,NSF,SNIP1,COL4A3,GNAO1,,,,,,,,,,,,,,KIAA0232,,RBM27,,
,,,,,,,,,,,,,,,,,,,,DCC,FLNB,,,,,,SMARCE1,,,,KCNB1,,,NDUFA5,NSRP1,SNORD118,COL4A3BP,GNAS,,,,,,,,,,,,,,KIAA1586,,REEP3,,
,,,,,,,,,,,,,,,,,,,,DCDC2,FLT4,,,,,,SMC3,,,,KCNC1,,,NEGR1,NTRK2,SPATA5,COL4A4,GNB1,,,,,,,,,,,,,,KIF13B,,RGS7,,
,,,,,,,,,,,,,,,,,,,,DCHS1,FLVCR2,,,,,,SNAP25,,,,KCNC2,,,NEO1,NUBPL,SPATA5L1,COL4A6,GNB2,,,,,,,,,,,,,,KIF14,,RHOXF1,,
,,,,,,,,,,,,,,,,,,,,DCX,FMN2,,,,,,SNRNP200,,,,KCND2,,,NEXMIF,NUP214,SPOUT1,COL6A1,GNB5,,,,,,,,,,,,,,KIF1A,,RIMS3,,
,,,,,,,,,,,,,,,,,,,,DDB1,FMR1,,,,,,SOGA1,,,,KCND3,,,NF1,NUS1,SPTAN1,COL6A3,GNPAT,,,,,,,,,,,,,,KIF5C,,RIT2,,
,,,,,,,,,,,,,,,,,,,,DDB2,FN1,,,,,,SON,,,,KCNH1,,,NFE2L3,OCLN,SPTBN1,COL9A1,GNPTAB,,,,,,,,,,,,,,KIRREL3,,RNF135,,
,,,,,,,,,,,,,,,,,,,,DDC,FOLR1,,,,,,SOS1,,,,KCNH5,,,NFIA,OGDHL,ST3GAL3,COL9A2,GNPTG,,,,,,,,,,,,,,KIZ,,RNF25,,
,,,,,,,,,,,,,,,,,,,,DDHD1,FOXC1,,,,,,SOX10,,,,KCNH7,,,NFIB,OLA1,ST3GAL5,COL9A3,GNS,,,,,,,,,,,,,,KLF16,,RNF38,,
,,,,,,,,,,,,,,,,,,,,DDHD2,FOXC2,,,,,,SOX11,,,,KCNJ10,,,NINL,OPHN1,STAG1,COLEC10,GPAA1,,,,,,,,,,,,,,KLF7,,ROBO2,,
,,,,,,,,,,,,,,,,,,,,DDOST,FOXE1,,,,,,SOX2,,,,KCNJ15,,,NIPA1,OTUD6B,STAMBP,COLEC11,GPATCH11,,,,,,,,,,,,,,KLHL20,,RP11-1407O15.2,,
,,,,,,,,,,,,,,,,,,,,DDR2,FOXE3,,,,,,SOX4,,,,KCNK7,,,NIPA2,OTUD7A,STRADA,COMP,GPC3,,,,,,,,,,,,,,KMT2A,,RPL10,,
,,,,,,,,,,,,,,,,,,,,DDX11,FOXF1,,,,,,SOX5,,,,KCNMA1,,,NIPBL,OTX2,STX1B,COPB1,GPC4,,,,,,,,,,,,,,KMT2B,,RPS10P2-AS1,,
,,,,,,,,,,,,,,,,,,,,DDX17,FOXG1,,,,,,SOX6,,,,KCNN2,,,NLGN1,OXR1,STXBP1,COPB2,GPT2,,,,,,,,,,,,,,KMT2C,,RPS6KA2,,
,,,,,,,,,,,,,,,,,,,,DDX23,FOXJ1,,,,,,SOX9,,,,KCNQ2,,,NLGN2,P4HTM,SUCLA2,COQ2,GRIA1,,,,,,,,,,,,,,KMT2D,,RPS6KA3,,
,,,,,,,,,,,,,,,,,,,,DDX3X,FOXN1,,,,,,SPAST,,,,KCNQ3,,,NLGN3,PABPC1,SUOX,COQ4,GRIA2,,,,,,,,,,,,,,KMT2E,,SACS,,
,,,,,,,,,,,,,,,,,,,,DDX54,FOXP1,,,,,,SPEN,,,,KCNS3,,,NLGN4X,PACS1,SURF1,COQ5,GRIA3,,,,,,,,,,,,,,KMT5B,,SAE1,,
,,,,,,,,,,,,,,,,,,,,DDX59,FOXP2,,,,,,SPI1,,,,KCTD13,,,NLGN4Y,PACS2,SYN1,COQ8A,GRIA4,,,,,,,,,,,,,,KNG1,,SAMD11,,
,,,,,,,,,,,,,,,,,,,,DDX6,FOXP3,,,,,,SPOP,,,,KDM1A,,,NOTCH1,PAFAH1B1,SYNGAP1,COQ9,GRID2,,,,,,,,,,,,,,KRR1,,SASH1,,
,,,,,,,,,,,,,,,,,,,,DEAF1,FOXRED1,,,,,,SPRY2,,,,KDM1B,,,NPAS2,PAH,SYNJ1,COX10,GRIK2,,,,,,,,,,,,,,KRT26,,SBF1,,
,,,,,,,,,,,,,,,,,,,,DEGS1,FRA10AC1,,,,,,SPTAN1,,,,KDM2A,,,NR1D1,PAK1,SZT2,COX11,GRIN1,,,,,,,,,,,,,,KSR2,,SCAF1,,
,,,,,,,,,,,,,,,,,,,,DENND5A,FRAS1,,,,,,SPTBN1,,,,KDM2B,,,NR2F1,PAK2,TAF8,COX14,GRIN2A,,,,,,,,,,,,,,LAMA1,,SCAF4,,
,,,,,,,,,,,,,,,,,,,,DENND5B,FREM1,,,,,,SPTBN2,,,,KDM3A,,,NR3C2,PARP6,TANGO2,COX15,GRIN2B,,,,,,,,,,,,,,LAMB1,,SCFD2,,
,,,,,,,,,,,,,,,,,,,,DEPDC5,FREM2,,,,,,SRCAP,,,,KDM3B,,,NR4A2,PARS2,TARS2,COX6B1,GRIN2D,,,,,,,,,,,,,,LARP1,,SCN4A,,
,,,,,,,,,,,,,,,,,,,,DGAT1,FRMPD4,,,,,,SRP54,,,,KDM4B,,,NRCAM,PCCA,TBC1D24,COX7B,GRM1,,,,,,,,,,,,,,LAS1L,,SCN9A,,
,,,,,,,,,,,,,,,,,,,,DHCR24,FRRS1L,,,,,,SRPR,,,,KDM4C,,,NRP2,PCCB,TBC1D2B,CP,GRM7,,,,,,,,,,,,,,LDB1,,SCP2,,
